"sneaker_name","sneaker_id","count_wears","brand"
UltraBoost V4 White,1,3,Adidas
Boost 350 V2 White,2,1,Adidas
Bball Low (Old) White,3,1,Common Projects
Bball Low Nude,4,5,Common Projects
Bball Low White,5,7,Common Projects
Bball Low Gray,6,7,Common Projects
Bball Low Taupe Suede,7,8,Common Projects
React Element 87 Brown,9,1,Nike
Blazer Low Pink,10,1,Nike
NMD CS1 Gore-Tex Blue,12,1,Adidas
Tennis Hu White,13,1,Adidas
Tennis Hu Off White,14,1,Adidas
UltraBoost V3 White,17,1,Adidas
Bball Low Pink Suede,18,3,Common Projects
AirMax 90 Desert Ore,19,1,Nike
Bball Low Dust Suede,20,1,Common Projects
